perm	control_libs	n_compartments	GLMM_sig	Fisher_sig	Wilcox_sig	n_tested_glmm	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher	mins
106	CEC2|GEC5|MEC1	3	728	2969	0	16818	0.392468211240969	0.236937586121302	6.31298366987953e-248	0	3.1
107	CEC2|GEC5|MEC2	3	726	2929	0	15249	0.391485111136267	0.230107825405883	1.08411194441694e-235	0	2.92
108	CEC2|GEC5|MEC3	3	751	2966	0	14822	0.391578516045781	0.228798643845939	8.65387665213516e-219	0	2.64
109	CEC2|GEC5|MEC4	3	615	2562	0	15159	0.400938797712004	0.24374266804662	1.87575932814564e-206	0	2.77
110	CEC2|GEC5|MEC5	3	578	2407	0	15188	0.41424685717517	0.258189803772888	2.68434621539639e-170	0	2.92
111	CEC2|MEC1|MEC2	2	855	3365	0	16907	0.386054448975004	0.225170447430711	7.10983222659665e-278	0	3.1
112	CEC2|MEC1|MEC3	2	881	3352	0	16840	0.386285137760776	0.224879806055534	1.86055524008696e-264	0	3.05
113	CEC2|MEC1|MEC4	2	763	3244	0	16994	0.392500112721451	0.228943397744876	5.60952049663991e-248	0	3.18
114	CEC2|MEC1|MEC5	2	730	3076	0	16987	0.394857314494292	0.239764415394342	5.94364776845954e-240	0	3.36
115	CEC2|MEC2|MEC3	2	994	3563	0	15430	0.362951286895997	0.197657809540126	0	0	2.8
116	CEC2|MEC2|MEC4	2	894	3303	0	15729	0.377438712988059	0.224773119461758	1.17470225005047e-279	0	2.82
117	CEC2|MEC2|MEC5	2	775	3030	0	15820	0.394159292492745	0.232728502750119	1.32854801900748e-230	0	2.8
118	CEC2|MEC3|MEC4	2	917	3368	0	15404	0.375384748456978	0.211282871304602	5.53913205598827e-278	0	2.77
119	CEC2|MEC3|MEC5	2	810	3018	0	15439	0.386344073222798	0.229980340378558	2.34646455220233e-241	0	2.7
120	CEC2|MEC4|MEC5	2	736	2894	0	15610	0.38985639225059	0.237154015668203	8.59793318479336e-230	0	2.65
121	CEC5|GEC1|GEC2	2	510	2762	0	14312	0.398449715865838	0.236074888818922	3.55434355560569e-196	0	2.6
122	CEC5|GEC1|GEC3	2	522	2671	0	14404	0.404852083512954	0.236649244082831	2.31093744633014e-175	0	2.52
123	CEC5|GEC1|GEC4	2	491	2630	0	14596	0.404810904168963	0.238087167917576	1.4229447969781e-164	0	2.57
124	CEC5|GEC1|GEC5	2	533	2831	0	14766	0.395830163451127	0.232990389146264	7.14190427811555e-196	0	2.87
125	CEC5|GEC1|MEC1	3	788	3100	0	17116	0.386723788388818	0.236807794672344	3.29599881704946e-263	0	3.01
126	CEC5|GEC1|MEC2	3	651	2923	0	15812	0.393651022303035	0.244037466152295	5.88711955924013e-234	0	2.92
127	CEC5|GEC1|MEC3	3	729	2954	0	15517	0.386419199686699	0.236911846855834	5.25499244483935e-252	0	2.86
128	CEC5|GEC1|MEC4	3	609	2695	0	15659	0.400470727761904	0.248197753535434	3.57002635646888e-204	0	2.81
129	CEC5|GEC1|MEC5	3	570	2509	0	15685	0.403411035724581	0.254391599589668	7.91612469614242e-181	0	2.9
130	CEC5|GEC2|GEC3	2	525	2635	0	13859	0.405034728872807	0.230951798285895	4.99225789854595e-188	0	2.45
131	CEC5|GEC2|GEC4	2	479	2623	0	14111	0.404148420842533	0.232246520271937	5.29931216654708e-181	0	2.55
132	CEC5|GEC2|GEC5	2	524	2720	0	14203	0.398161996670964	0.226897320056267	8.50608368657738e-193	0	2.64
133	CEC5|GEC2|MEC1	3	812	3183	0	16752	0.387274252107816	0.227736701899959	1.29370793920956e-271	0	2.97
134	CEC5|GEC2|MEC2	3	697	3083	0	15350	0.386366592960363	0.224487216365483	8.39453957073494e-255	0	2.48
135	CEC5|GEC2|MEC3	3	736	3090	0	15037	0.3764260150603	0.222687888285331	5.40733413806426e-265	0	2.26
136	CEC5|GEC2|MEC4	3	679	2860	0	15283	0.39324305174003	0.238933081453635	5.70955096836622e-229	0	2.36
137	CEC5|GEC2|MEC5	3	595	2576	0	15281	0.403843902618156	0.245156546392008	3.09270007743114e-202	0	2.46
138	CEC5|GEC3|GEC4	2	481	2461	0	14192	0.412740275894349	0.238438297344235	2.21645026978661e-161	0	2.29
139	CEC5|GEC3|GEC5	2	503	2665	0	14413	0.402443026530183	0.236706211941848	3.80984308734963e-179	0	2.37
140	CEC5|GEC3|MEC1	3	787	3088	0	16727	0.392145505733073	0.237837123788302	8.34677004381821e-245	0	2.71
141	CEC5|GEC3|MEC2	3	685	2930	0	15436	0.395988057737553	0.236167335979359	2.17310347215962e-231	0	2.35
142	CEC5|GEC3|MEC3	3	748	3000	0	15093	0.381648361103222	0.228370784200975	8.02407565849398e-253	0	2.31
143	CEC5|GEC3|MEC4	3	644	2701	0	15359	0.399315151401926	0.247499578573394	3.7661198330634e-209	0	2.44
144	CEC5|GEC3|MEC5	3	569	2479	0	15350	0.407441588666468	0.25435243257593	1.15045294367958e-186	0	2.64
145	CEC5|GEC4|GEC5	2	494	2605	0	14568	0.403770324419094	0.238909385438263	5.47581208683555e-176	0	2.52
146	CEC5|GEC4|MEC1	3	777	2994	0	16827	0.396818740875727	0.241180480346109	3.51335666909805e-232	0	2.75
147	CEC5|GEC4|MEC2	3	625	2889	0	15557	0.399217005030435	0.236308162650482	1.17977304326841e-221	0	2.52
148	CEC5|GEC4|MEC3	3	750	2938	0	15215	0.388580338897512	0.22758069376067	2.94312499228805e-242	0	2.55
149	CEC5|GEC4|MEC4	3	633	2690	0	15482	0.40184748432004	0.244996532699948	5.66155205469349e-209	0	2.68
150	CEC5|GEC4|MEC5	3	562	2417	0	15492	0.411252126799036	0.25316664014786	1.97302406871181e-180	0	2.6
151	CEC5|GEC5|MEC1	3	784	3242	0	16915	0.387895401223428	0.234216798844051	5.06108518675657e-269	0	2.93
152	CEC5|GEC5|MEC2	3	652	2956	0	15752	0.392051871000056	0.237036967464721	1.43654266252936e-241	0	2.65
153	CEC5|GEC5|MEC3	3	734	3012	0	15395	0.388219993985254	0.235902006931717	3.9548953918836e-246	0	2.06
154	CEC5|GEC5|MEC4	3	618	2702	0	15606	0.400019309398198	0.247766845559439	8.78710415203528e-214	0	2.1
155	CEC5|GEC5|MEC5	3	574	2507	0	15617	0.40538222339932	0.255602021467612	8.26914636922979e-196	0	2.13
156	CEC5|MEC1|MEC2	2	800	3390	0	17051	0.38880025674534	0.224165558125513	2.59848699769839e-268	0	2.35
157	CEC5|MEC1|MEC3	2	875	3403	0	16991	0.381112869237368	0.227008879577287	1.7510935257981e-277	0	2.39
