perm	labels	n_tested_glmm	GLMM_sig	Fisher_sig	Wilcox_sig	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher	mins
230	dcdddcccccdd	19506	78	370	0	0.477689527205355	0.584256810508857	8.03437423529985e-28	0	2.19
231	dcddcdddcccc	19427	104	413	0	0.471076819628417	0.577321682584841	9.10800484946849e-24	0	2.24
232	dcddcddcdccc	19508	81	410	0	0.477462140196386	0.58426400347373	1.14408016752895e-13	0	2.24
233	dcddcddccdcc	19698	70	308	0	0.490636114298234	0.594612698512665	1.54132777334399e-06	0	2.24
234	dcddcddcccdc	19554	78	318	0	0.485617448351696	0.586021505376344	5.17971225960585e-10	0	2.3
235	dcddcddccccd	19467	108	311	0	0.488474556322319	0.587280787423124	2.24463803888556e-13	0	2.38
236	dcddcdcddccc	19570	118	457	0	0.480682896209796	0.589432120212724	2.25473495518716e-13	0	2.32
237	dcddcdcdcdcc	19777	91	347	0	0.494797648739709	0.602658974037376	6.34448198253054e-07	0	2.62
238	dcddcdcdccdc	19642	77	321	0	0.487551231800088	0.594329838526211	3.57748071544583e-06	0	2.26
239	dcddcdcdcccd	19643	78	323	0	0.491390113846672	0.599251491029026	2.18947318436919e-06	0	2.23
240	dcddcdccddcc	19731	77	337	0	0.486910047032303	0.596888619926123	6.36627894316665e-07	0	2.2
241	dcddcdccdcdc	19608	73	356	0	0.489212646789742	0.597537957152304	3.24201347766717e-08	0	2.12
242	dcddcdccdccd	19590	100	328	0	0.491434123512972	0.601079600178818	2.20144679699953e-07	0	2.14
243	dcddcdcccddc	19668	110	489	0	0.459134010813397	0.572547535521301	4.06287918637774e-43	0	2.15
244	dcddcdcccdcd	19552	126	395	0	0.472800514034941	0.580035501247371	1.39279221759534e-30	0	2.11
245	dcddcdccccdd	19429	117	400	0	0.470209409774144	0.579232601237179	1.29053171061103e-32	0	2.09
246	dcddccdddccc	19422	115	475	0	0.467657762533067	0.573390346292477	3.28158553279862e-31	0	2.16
247	dcddccddcdcc	19725	89	337	0	0.491009421977159	0.598067242040759	4.0038887871833e-07	0	2.36
248	dcddccddccdc	19604	81	311	0	0.485420252207904	0.587625987971411	7.88727618361269e-12	0	2.15
249	dcddccddcccd	19670	82	338	0	0.484154192939905	0.593090419819359	6.04365058554395e-12	0	2.16
250	dcddccdcddcc	19741	71	311	0	0.489080205042566	0.597415416661371	0.000189300419871803	0	2.16
251	dcddccdcdcdc	19681	43	313	0	0.48897626342299	0.597171619957449	1.59066834278706e-07	0	2.19
252	dcddccdcdccd	19704	68	318	0	0.489510355350965	0.597956591983887	2.80136516108713e-09	0	2.18
253	dcddccdccddc	19769	90	404	0	0.472467370894304	0.589015950966463	1.12077709623589e-25	0	2.16
254	dcddccdccdcd	19710	108	388	0	0.480660999319358	0.588514746447181	1.31689235122395e-14	0	2.17
255	dcddccdcccdd	19667	84	360	0	0.478728738289536	0.59111138175296	5.47231077500274e-20	0	2.15
256	dcddcccdddcc	19723	80	351	0	0.49185654668913	0.600074333994474	4.24298263921805e-07	0	2.26
257	dcddcccddcdc	19667	64	346	0	0.491362063751901	0.597737116992573	2.11085591866319e-08	0	2.18
258	dcddcccddccd	19735	69	348	0	0.493040135584915	0.602486346768685	1.5958230495828e-05	0	2.19
259	dcddcccdcddc	19789	94	423	0	0.472674830043041	0.58976535536585	8.84377839769302e-25	0	2.2
260	dcddcccdcdcd	19812	96	392	0	0.486597794969751	0.598567841516697	7.87196705539007e-12	0	2.21
261	dcddcccdccdd	19775	60	368	0	0.483540189708805	0.595729835806819	1.69068073108971e-10	0	2.48
262	dcddccccdddc	19772	107	437	0	0.465426553020921	0.58416766108045	9.27029948932454e-39	0	2.44
263	dcddccccddcd	19744	122	381	0	0.47891342698232	0.590243902439025	5.44682820280821e-18	0	2.36
264	dcddccccdcdd	19722	82	397	0	0.477601428715639	0.593925284544286	1.38620140517396e-15	0	2.52
265	dcddcccccddd	19569	253	714	0	0.434104357552973	0.553865303643879	1.87562116201447e-103	0	2.5
266	dcdcddddcccc	19386	142	488	0	0.465091746193946	0.572499073512441	1.95974184195021e-35	0	2.49
267	dcdcdddcdccc	19501	105	463	0	0.474642724432571	0.576285048900746	4.8221032714386e-25	0	2.65
268	dcdcdddccdcc	19708	59	322	0	0.491885278873146	0.598697804203975	3.55623700307854e-05	0	2.65
269	dcdcdddcccdc	19587	95	343	0	0.490219557178844	0.588976519696208	3.13245933996074e-07	0	2.52
270	dcdcdddccccd	19536	89	336	0	0.491378210379454	0.590285439900464	4.94443137985187e-12	0	2.54
271	dcdcddcddccc	19535	130	502	0	0.476584872156345	0.585889715035424	2.20216538275907e-23	0	2.54
272	dcdcddcdcdcc	19776	66	344	0	0.499682748281923	0.610118044391129	7.02464387189979e-06	0	2.49
273	dcdcddcdccdc	19691	85	321	0	0.498013914768461	0.599908325213136	0.000241076697584574	0	2.49
274	dcdcddcdcccd	19711	76	335	0	0.494542570019089	0.601518026565465	7.03841273944813e-05	0	2.56
275	dcdcddccddcc	19741	63	339	0	0.489550734481126	0.599961561553706	4.83564554683459e-07	0	2.59
276	dcdcddccdcdc	19688	83	354	0	0.495106959241242	0.597523983328812	1.34932035711208e-05	0	2.56
277	dcdcddccdccd	19660	81	338	0	0.494449299906871	0.59801942875444	2.61149809696034e-07	0	2.43
278	dcdcddcccddc	19687	97	408	0	0.476776263223069	0.587650528999711	6.92826879784135e-25	0	2.42
279	dcdcddcccdcd	19652	82	351	0	0.484664639464286	0.593154615635262	3.89933191877581e-20	0	2.36
280	dcdcddccccdd	19497	95	351	0	0.481684448124631	0.584991798379067	1.03075009726318e-13	0	2.33
281	dcdcdcdddccc	19309	149	495	0	0.464730672637587	0.567544284398183	8.44239271092469e-42	0	3.51
282	dcdcdcddcdcc	19685	65	293	0	0.496319174294051	0.604362920405011	1.31741883758471e-05	0	3.59
283	dcdcdcddccdc	19600	82	282	0	0.495142038821965	0.594219963854601	6.30214378762777e-06	0	3.78
284	dcdcdcddcccd	19683	65	309	0	0.492644300152906	0.598454929701943	2.33897028453125e-09	0	3.64
285	dcdcdcdcddcc	19749	63	309	0	0.500834252898563	0.606943684663528	0.000893335438500368	0	3.71
286	dcdcdcdcdcdc	19685	66	313	0	0.500920513277316	0.603186414999361	0.000292839235636802	0	3.67
287	dcdcdcdcdccd	19709	60	326	0	0.496430741189191	0.600000329764765	1.76062987358611e-06	0	3.97
288	dcdcdcdccddc	19760	65	330	0	0.492711572756318	0.604707064894455	3.09138067951356e-09	0	3.8
289	dcdcdcdccdcd	19741	69	310	0	0.499891268499433	0.607982450758428	5.05987440431588e-07	0	3.66
290	dcdcdcdcccdd	19693	73	292	0	0.494210874466349	0.600417599848944	3.10434879155815e-07	0	3.57
291	dcdcdccdddcc	19717	62	314	0	0.499568291950901	0.604877168354365	9.18533418126086e-06	0	3.69
292	dcdcdccddcdc	19659	81	330	0	0.501055102358797	0.60064004558896	0.000583027489237342	0	3.62
293	dcdcdccddccd	19743	81	340	0	0.498244326404504	0.604035129095513	0.00252050450850648	0	3.62
294	dcdcdccdcddc	19755	68	321	0	0.492672879375073	0.606534412006261	7.93313882967073e-08	0	3.54
295	dcdcdccdcdcd	19790	59	307	0	0.501883224664583	0.612494338053508	0.00124408063891352	0	3.45
296	dcdcdccdccdd	19782	51	271	0	0.500990108544148	0.606877260817777	0.0260713854797638	0	3.56
297	dcdcdcccdddc	19746	54	332	0	0.484847929970349	0.601032560936817	1.21699037439355e-14	0	3.65
298	dcdcdcccddcd	19739	66	330	0	0.492016442593356	0.601232529513213	1.02620374974293e-05	0	3.65
299	dcdcdcccdcdd	19762	59	335	0	0.492908693284949	0.601614029203049	0.000147658378823553	0	3.64
300	dcdcdccccddd	19637	145	534	0	0.458757411174669	0.579384054972654	1.61044087744849e-48	0	3.44
301	dcdccddddccc	19442	148	518	0	0.463419729190862	0.569994335586628	2.8672542123443e-39	0	2.11
302	dcdccdddcdcc	19720	67	307	0	0.496468044441234	0.602112312529435	1.77266037194417e-05	0	2.18
303	dcdccdddccdc	19641	91	301	0	0.490700218792287	0.592925655529761	5.56847329463913e-06	0	2.23
304	dcdccdddcccd	19718	63	305	0	0.489650967485194	0.595112243793405	1.30665751395774e-08	0	2.16
305	dcdccddcddcc	19759	66	313	0	0.496463203900453	0.60322210913437	0.00254162681834317	0	2.15
306	dcdccddcdcdc	19695	61	325	0	0.494960136612806	0.601518026565465	0.000147981742718608	0	2.26
307	dcdccddcdccd	19725	74	336	0	0.497923695509706	0.601465201465202	2.50455545611831e-07	0	2.34
308	dcdccddccddc	19774	70	358	0	0.494171598369394	0.602488939468365	1.12470745930396e-08	0	2.15
309	dcdccddccdcd	19754	62	314	0	0.499976729202078	0.602502363585219	1.07168185377524e-05	0	2.3
310	dcdccddcccdd	19683	82	295	0	0.497617211753621	0.599071599105193	2.03162790193718e-07	0	2.13
311	dcdccdcdddcc	19753	90	342	0	0.497224420001811	0.602798183908494	6.98887429084609e-09	0	2.3
312	dcdccdcddcdc	19682	94	355	0	0.494279806071152	0.598840162427961	7.18586835377771e-07	0	2.17
313	dcdccdcddccd	19766	77	339	0	0.491031742758931	0.601465201465202	2.72943309519058e-06	0	2.29
314	dcdccdcdcddc	19753	83	358	0	0.48590016464728	0.600118188270918	9.50510358628322e-12	0	2.33
315	dcdccdcdcdcd	19807	48	315	0	0.494727680521285	0.606065719714069	7.65373834176879e-06	0	2.22
316	dcdccdcdccdd	19796	61	295	0	0.493235406466598	0.60171042126952	0.000581895430015341	0	2.54
